Semantic field	Indonesian gloss	English gloss	Enggano (Brouwer early 1850s)	Enggano (Boewang 1854)	Enggano South? (v. Rosenberg 1855)	Enggano Northwest? (vd Straten & S. 1855)	Enggano North (Walland 1864)	Enggano (Francis 1870)	Enggano Northwest (v. Rosenberg 1878)	Enggano (Oudemans 1879)	Enggano (Helfrich 1888)	Enggano Kèfoe (Helfrich & Pieters 1891)	Enggano Barohia (Helfrich & Pieters 1891)	Enggano (Modigliani 1894)	Enggano Pulau Dua 1895 (Stockhof 1987)	Enggano (Helfrich 1916)	Enggano (Amran et al. 1979)	Enggano (Capell 1982)	Enggano (Nothofer 1986 ms.)	Enggano (Kähler 1987)	Enggano root (Kähler 1987)	Enggano Malakoni (Kasim et al. 1987)	Enggano Banjar Sari (Kasim et al. 1987)	Enggano Meok (Yoder 2011)	Pak Aron Elicitation 2019	Contemporary Enggano (Zakaria et al. 2023)	Contemporary Enggano root	Remarks	Number of Attestations	PAN etymon	PAN gloss	PAN source	PMP etymon	PMP gloss	PMP source	Etymological source	Remark on etymology
natural objects	sapuan	dust												chèlo²										hiur	hiur				3								
person	orang kerdil	dwarf													nioekienio(k)														1								
animals	burung rajawali	eagle													poeroehoei													meaning1895 'kite (bird)'	1								
body parts	telinga	ear	kaliha		kaleha		kalila	kaliha	kalila	kaliha	koelipo, koeripo	kaliehĕ	karieha	ecarihía	kariehā, kaliehĕ, kariehĕ, karieha		karih			e-kadiha		karih	karih	karix	karih			meaning1891 'ear, earring'_note1895: first and second word means 'ear', third and fourth word mean 'earclip'	17	*Caliŋa	ear	ACD	*taliŋa	ear	Lafeber 1922:21, ACD	Lafeber 1922:21, Edwards 2015:94-97	Oudemans (1879) gives kaliha
body parts	telinga	ear																										note1982: possible wrong clipping of ekai ukadixa 'earwax'	0								
time	tadi	earlier												bodo														cf. always	1								
time	tadi	earlier										nèè	nèè		nèè					nẽʔẽnĩ					ne'en			meaning1895 'like this, like that, today, a moment ago'_meaning1987K 'a moment ago'	5								
time	sore	early evening										labaheibĕ	labaheibĕ							paha͜iba								meaning1891 'afternoon'	3								
human objects	anting-anting	earring												paricohòi						epadikoho͜i, eparikoho͜i									2								
human objects	anting-anting	earring					kenènèh-ka-rika																						1								
natural objects	bumi, tanah	earth, soil	lopoh		tehopo	lopo	loppoh				Èloppo	èloffo	èloppo	elopo	èloffo, èlŏpŏ, èloppo		eadopo, dapo	dope		e-dopo, e-lopo, e-topo		dowp	dowp	dop	edob	dop	dop	meaning1891&1987K 'earth, country, soil'_meaning1888 'Enggano island'_meaning1894&1982&1987&2011&2019 'earth, soil'_note1895: first word means 'country, earth (ground), earth (globe)', second word means 'land (state)', third word means 'country, earth (ground)'	17								
natural objects	bumi, tanah	earth, soil																		ẽ-nã́ũõ								note1987K: archaic	1								
	gempa bumi	earthquake									riho	èdihĕ	èriho	edihio	èdih, erihŏ									dix	edih				7								
animals	cacing tanah	earthworm									èhodok²				èhŏdŏ(k)					ehodo	[e]hodo			hiɘr	hiėr ido'ra			meaning1888&1987K 'worm'	5	?			*gələŋ	intestinal worm	Billings & McDonnell 2022		
animals	cacing tanah	earthworm										kofène	kopènè		kŏfènè, kŏpènè							kopEn	kopEn					meaning1895 'caterpillar'	5								
	reda	ease off										kikoro	kikoro							kikoroa	koroa (I/II)							meaning1891 'calm'_meaning1987K 'stop, calm down, make peace, spare, live in peace'	3								
	timur	east																		ẽ-ãkõnãhã									1								
	mudah	easy										nafonak²	nafonak²																2								
food and beverage	makan	eat					menoh, manoh	mano		meno		amĕnok	amĕnok	menò, eonò	amĕnŏ(k)		eono	amənok				no	no	no, ka-no	no				13								
food and beverage	makan	eat		pakie noenoe	faginono	kakinana	pakehnonno		fakinono											kĩnõõ	nõõ			ki-nono					7								
	pinggir	edge																		e-kaʔa									1								
	pinggir	edge										èkieodaba	èkieodaba															cf. mouth	2								
animals	belut	eel													èkama					ekãmã̄									2								
animals	belut	eel													èhèo														1								
animals	telur	egg					haoah ko-eikoh																					cf. child	1								
	terong	eggplant																						taru	taru			loanword	2								
numerals	delapan	eight	apas-afah	apa joepa	alimei agoloe	afa-afa	opah ijoepah	afa é afa	alieba-akelu	afa é afa		afai afa	afai afa	afa aſa	afai-īafā					ʔáopa hī ʔáopa				kĩpãʔĩõp	apai'op			lit. 4+4, Yoder 'lay + ?'	15	*Sika + Səpat + Sika + Səpat	NUM + four + NUM + four	ACD	*(i)ka + əpat + (i)ka + əpat	NUM + four + NUM + four	ACD	Edwards 2015:79	the form is ʔadiba hii ʔakoru '5+3' in van Rosenberg (1853:434, 1855:386), linker hii is unexplained, Edwards (2015:80) compares the Enggano numeral system with that of Moor and Yeresiam (Cendrawasih Bay) because the Enggano system is not found in ISEA
numerals	delapan ratus	eight hundred						adoea kododoka																					1								
numerals	delapan belas	eighteen					kapoeloe opah ijoepah							cahafúlo afa afa															2								
numerals	delapan belas	eighteen										kifa hoekjo afai afa	kifa hoekjo afai afa		kifahoekjo afai afa														3								
numerals	delapan puluh	eighty			aopeia taka			afa takka		afa takka		afataka	afataka																5								
body parts	siku	elbow					poe-apoh					èfoek²oeafĕ	èpoek²oeapo	epú ápo	èfoe(k) oeafĕ, èpoe(k)oe apŏ														5								
numerals	sebelas	eleven					kapoeloe kaihie	kahafoeloe é kahaie		kahafoeloe é kehaie				cahaſúlo cáic								hakhikah	hakʰikhah						6								
	sebelas	eleven										kifa hoekjo kaïk	kifa hoekjo kaïk		kifahoekjo kaik														3								
	naik kapal	embark (ship)												uaha eloha
															1								
emotion	malu	embarrassed			kapi-api							kaniak²	kaniak²															meaning1855vR 'ashamed'	3								
	timbul dalam air	emerge in water																						dɨa					1								
	timbul dalam air	emerge in water																						ki-dɨa					1								
object features	kosong	empty										hokèorak²	hokèorak²	chèoba hela	hokeora(k) ahèlĕ														4								
object features	kosong	empty													karahèlă														1								
	pagar	enclosure													piefie														1								
	berakhir	end (v.)													hōda hōda														1								
	akhir	ending																		eaʔabəha								Kähler Beendetsein_cf. finished	1								
	musuh	enemy												parahò															1								
	musuh	enemy										èlèabĕ	èlèaba		kapaleàbŏ														3								
natural objects	pulau Enggano	Enggano Island			Kepoe-taïgoeka						Kèfoe Kaikoekka			Chèfu Cacuhía														literal meaning 'big island'	3								
natural objects	pulau Enggano	Enggano Island			è-loppeh									È loppeh														lit. 'the land'	2								
people	orang Enggano	Enggano person			Keeiikjèé																							note: the same word also appears as Kerik-je-e in von Rosenberg (1878:207)	1								
quantity	cukup	enough				abaai						hafanako	hafanako	abóha															4								
movement	masuk	enter												cahepaco															1								
movement	masuk	enter									koewa	koewa	koewa											kũʔ	kinau kũãh			meaning1888 'enter (boat)'_meaning2011&2019 'board a vehicle'	5								
	setara	equal										fanakonĕ	panakonĕ	panacona															3								
	sama dengan ; menyamai	equal (v.)										kabiĕ	kabiĕ																2								
	membangun (rumah)	erect (house)										ènoe	ènoe																2								
	meletus	erupt										kifööka	kipööka																2								
	melarikan diri	escape										kifèorak²	kipèorak²		kifèora(k), kipèora(k)													meaning1891 'escape, remove'_meaning1895 'loose'	3								
	muara	estuary										bĕloe(a)	bĕloe(a)	eca belowa						eáea									4								
	muara	estuary									bakaoewĕ																	meaning1895 'opening'	1								
	genap	even (number)										fanakonĕ	panakonĕ															cf. equal, like	2								
time	petang	evening													ahae														1								
astrology	bintang malam	evening star																		ẽ-pẽkõ									1	*bituqən	star	ACD	*bituqən	star	ACD	Edwards 2015:97-98	irregular *u > Ø, possibly a simplification of *uo > /o/, but cf. *tuqed > e-kuo; irregular *i > /e/, though cf. *iluR > k-edo
astrology	bintang malam	evening star																		epẽkõ ukanə̃ã͜i									1								
astrology	bintang malam	evening star																		eũʔũnũʔũĩ uʔəkaʔa/uaʔáu									1								
astrology	bintang malam	evening star																		eʔaperúa͜u									1								
temporal	sesekali	every now and then																		hī ʔō									1								
temporal	sesekali	every now and then													èfāā [mahiĕ]					obaʔa									2								
temporal	sesekali	every now and then													mŏkŏkŏ														1								
	di mana-mana	everywhere												idò²															1								
human features	jahat	evil										kioha	kioha	chioha	kiŏhā													meaning1895 'bad'	4								
human features	jahat	evil										foefoeroe	poepoeroe	ibu	èieboe									paʔpɘhɘr	pa'pėhėr			meaning2011&2019 'evil, bad'	6								
human features	jahat	evil																																			
	berlebihan	exaggerate																						ka-bobohok	ka'bobohok				2								
	meneliti	examine										manoenoeh	manoenoeh																2								
	contoh	example										èokoni	èokoni																2								
activities	menukarkan	exchange										koehèdiak², kahĕdiak, koehèli, kohèli, koehèdie	koehèdiak², kahĕdiak, koehèdie, kohèli, koehèdie		kahĕdiak, baēdiăk, [dŏboe]kabandiăk					kikuhedi, kipakuhedíaʔa	kuhedi							note1891: first word means 'exchange', second word means 'trade (v.)', third word means 'change', fourth word means 'change', fifth word means 'change clothes'_note1895: these forms are somewhat unclear but must belong to the same root_note1895: first element of the third word means 'goods/things'_note1987K: first word means 'replace, represent, switch, exchange, change', second word means 'switch, change'	4								perhaps derived from kedi 'make peace'
activities	menukarkan	exchange																		kikupeʔaʔa	kupe:					kupe'	kupe'	meaning1987K 'change'	2								
	ada	exist																		abia									1								
object features	mahal	expensive					mokkoh-lie					moko èodie	moko èorie	mocoli	moko èarie, moko èodie													literally 'much price'	5								
	memperpanjang	extend										pakijo	pakijo																2								
activities	memadamkan (api)	extinguish (fire)												dipuru	poeroe èjobie														2								
body parts	mata	eye	baka		bakka	baka	bah-kah	ebaka	bahka	ébāka		èbakĕ	èbaka	(e)baca	èbaka		bak	baka		e-baka		bakh	bakh	bak	ebak			meaning1894&1895&1987K 'eye, face'_meaning1982 'fat (n.)'	18	*maCa	eye	ACD	*mata	eye	ACD	Lafeber 1922:22,23, Edwards 2015:94-97, ACD 8601, Kähler 1987:25	
	bisul mata	eye abscess																						kaʔken	kareb bak				2								
body parts	alis	eyebrow												ecufele baca	koepènobaka														2								
body parts	bulu mata	eyelashes												epruru baca															1								
body parts	kelopak mata	eyelid												eurobaca														cf. eye	1								
	infeksi kulit di kelopak mata	eyelid dermatitis																						iakoʔoi					1								
body parts	muka	face																						pɨah	pėah			cf. eye	2	*maCa	eye	ACD	*mata	eye	ACD	Edwards 2015:94-97, ACD 8601, Kähler 1987:25	
	telungkup	face down																						ki-ʔiop	ki'iop				2								
	tunggik	face outwards																						kurdi	kikurdi				2								
	tunggik	face outwards																							kikuėd				1								
movement	jatuh	fall												capunda						kĩ-nõnõnã									2								
movement	jatuh	fall										kifoeoedĕ	kifoeoedĕ	capuuda						ki-puʔuda									4								
movement	jatuh	fall																		kĩ-kẽnẽnã		uqūūt	uqūūt	dap	kipuur				5								
	tanggal (gigi)	fall out (teeth)										kikanènak²	kikanènak²																2								
kinterms	keluarga	family													anŏ(k)														1								
	rumpun (tanaman)	family (plants)										kakĕléha	kakĕléha																2								
distance	jauh	far			mimi	mé-i-mé					miemie, miemĕ	miemie	miemie	mimina	mil					kĩ-mĩĩ				mimi	mimi				10								
distance	jauh	far																		kõnõnã		nini	nini						3								
distance	jauh	far													èo														1								
	petani	farmer													èhaka bapieĕ													lit. 'man of the field'	1								
bodily functions	kentut	fart (n.)										èoekoek²	èoekoek²		èoekoe(k)					ẽ-uku				kũk	kaia kiude			meaning1895 'fart (v.), enclosure'	6	*qətut	fart, flatulence	ACD	*qətut / *qutut	fart, flatulence	ACD / Smith 2020:360	Lafeber 1922:22, Edwards 2015:94-97, cf. Kähler 1975:IV, Smith 2020:360	Smith (2020:360) explains the nasality with an excrescent nasal and lists as similar examples Javanese əntut, Tontemboan əntut, Palauan ʔolð, Malay kəntut (all from *qəntut) as well as Toba untut and Simalungan untut (all from *quntut)
activities	mengencangkan	fasten													ami(k)ī(k)														1								
activities	mengencangkan	fasten													afamī(k)														1								
	gemuk	fat (a.)										kaaauwĕ	kaaauwĕ		kaaanwĕ		kaau			kaʔaʔã͜õã	ʔã͜õã			ka-ʔãũ	kã'ãũ			meaning1895 'big, fat', meaning1979 'fat (n.)'	7								
object features	gemuk/tebal	fat (a.)				kapa-apa	mokko-kera-aha					èafak²	èafak²																4								
body parts	lemak	fat (n.)													èo							‘Ew	‘Eu						3								
kinship	ayah	father	amama	awa mama	ama ama		amah	amama	amah	amama		ama	ama	ama	ama(na)		am	ama		ãmã				ʔam					15	*amax	father	ACD	*ama / *ama-ŋ	father	ACD / Smith 2020:359	Edwards 2015:94-97, ACD 134, Kähler 1987:12 / Smith 2020:359	Smith (2020:359) proposes a vocative suffix *-ŋ to account for nasalization and lists as cognates Tagalog amá-ŋ 'elder person', Bidayuh amaŋ 'father', Toba Batak amáŋ 'oh father' and Totoli amaŋ 'father'
	ayah	father													ĕbak							paqaq	paqaq	paʔ				loanword?	4								
	bulu	feather												pruru	poeroeroei					e-pududui								cf. body hair	3	?			*bulu	body hair, fur	ACD	Edwards 2015:94-97	final /dui/ probably from e-dui ‘thorn, spike’ < *duRi, spelled pũnũ/pũrũ in Nothofer (1994:402), reconstructed Proto-Paleo-Hesperonesian *buluŋ 'leaf' (Nothofer 1994:402), cited Isneg buloŋ, Ilocano bulóŋ as cognates

Oudemans (1879) gives foedoedoe-oeloe
bodily fluids	tahi	feces										èkaie	èkaie	echai	èhaie					e-kai				ka	ka			meaning1891&1895 'shit (v.), feces'	7	*Caqi	feces, excrement		*taqi	feces, excrement	ACD	Lafeber 1922:22, Edwards 2015:94-97, ACD 2004	
	merasa	feel																		kado									1								
emotion	merasa sakit	feel sick												chèoba iaua														Mod. 'sentire/merasa sakit'	1								
	merasa	feel/sense																		ado				ʔainɘn					2								
	rasa ; perasaan	feeling										kahafak	kahafak											painɘn	painėn				4								
activities	menebang (pohon berbatang tinggi)	fell (high-stemmed trees)									èhaifoe	èhaiefoe	èhaiefoe				yahipku kamuh												4								
activities	menebang (pohon berbatang rendah)	fell (low-stemmed trees)									èhanana						yahadih												2								
	pagar	fence																						ĩũʔpɨ̃ãʔ	yũpẽ'				2								
	pagar	fence										èkoefadĕ	èkoepado		koefadĕ, koepadŏ					e-pado				kupar	kupar				6	?			*pagər	enclosure, fence	ACD	Kähler 1987:232, Edwards 2015:97-98	only instance of *g > /d/, or old borrowing from Buginese baleŋ?
	pagar (kecil)	fence (small)																						iarkɨaʔaɨ	[kupar] yarkwa'ė				2								
	pakis	fern																		eadada͜əʔa									1								
	pakis	fern																		earada͜əʔa									1								
diseases	demam	fever					adoh, a-do-hoh							iadòho	èadoh									ʔarɘh	arėh			note1864: first word means 'fever', second word means 'sick'	5								
diseases	demam	fever					ke-poearah																						1								
quantity	sedikit	few					kehi-mamah					kihimanĕ	kihimanĕ	chimaná	kīhemanĕ, kihimanĕ, kīhīmanĕ, kèhèmanĕ													meaning1891 'cheap, not enough'_meaning1894 'not enough'_note1895: first word means 'cheap', second word means 'less', third and fourth word mean 'few, a little'	5								
quantity	sedikit	few																				baqkiis	baqkiis	baʔki	baki				4								
	serat	fiber									èmèmohoeajapoe	oeroèpok²	oeroèpok²															meaning1888 'make fiber'	3								
	serat	fiber										èorojĕ	èorojĕ																2								
	urat (daun)	fiber (leaf)										poeroedoeè	poeroedoeè															cf. leaf	2								
	ladang	field												epíia	*pieĕ													note1895: This word only appears in compounds such as 'farmer' and 'sow'	2								
	garang	fierce										èiboe	èiboe																2								
numerals	lima belas	fifteen			tahapoeloe alima		kapoeloe aliebah	kahafoeloe é aliema	tahapulu-alieba					cahafúlo alíme															5								
numerals	lima belas	fifteen										kifa hoekjo alibĕ	kifa hoekjo alibĕ		kifahoekjo alibĕ														3								
	lima belas	fifteen										kifa hoekjo alibĕ adoewĕ	kifa hoekjo alibĕ adoewĕ		kifahoekjo alibĕ adoewĕ														3								
numerals	lima puluh	fifty			adoeei taka tahapoeloe		adoeah takkah kaihie poeloeh	adoea takka é kahafoeloe	aduai-takka-kahei-pulu	adoewa takka é kahafoeloe		adoewĕ takajo kifahoek			adoewĕ takajo kifahoek									ʔaru kak he kĩpãʔãũʔ				lit. '2 person + 10'	8								
abstract things	pertarungan	fight (n.)	pafoeroe			papoeroe, poefoeroe						fafoeroe	papoeroe	bapuru chia	pafoeroe									pa-pur	kipapur			meaning<1855&1895 'war'_meaning2011&2019 'fight (v.)_note1855vdS: first word means 'fight (v.)', second word means 'war'	8								
activities	berkelahi	fight (v.)												bacai															1								
activities	memerangi	fight against												capari papuru
														or 'wage war'?	1								
animals	ayam sabungan	fighting cock													èoekaikŏ														1								
tools	kikir (alat)	file (tool)	kakoliaw			kokoliaauw	kah-kohleah				kakorè	kaokorèao	kaokorèao																6								
activities	mengisi	fill												chifamu														cf. full	1								
	kotoran	filth										èkohok	èkohok																2								
	akhirnya	finally																		abə́hadaʔa								cf. finished	1								
other	menemukan	find					béo-boh							pacohà															2								
other	menemukan	find													[oewa]bālā													note1895: literal meaning 'I find'	1								
other	halus	fine (a.)			kúnikàni	kané kané						kahikanie	kahikanie																4								
	denda	fine (penalty)										èhoukĕ	èhouka		èhouka, èhoukè														3								
body parts	jari	finger			gaheho		minoe-apoh	mino [afo]	minu-afa	mieno [afo]		minoe afĕ	minoe apo	emino [apo]	minoe apŏ													meaning1879 'finger, hand'_meaning1894 'hand'_note1870: only the first part is given for 'finger', but the combination of both words is given for 'hand'	9								
	kobokan	finger bowl																						ʔinu	inu			kobokan	2								
animals	karang jari	finger coral																		ekuaha͜iyo	[e]kuaha͜iyo								1								
body parts	kuku jari	fingernail										kanoenoenoe	kanoenoenoe	canuúnu	kanoeoenoe, kaunoeoenoe		kenan			ẽ-kãnũʔũnũ				kunuʔun				meaning1979 'claw'_meaning1987K 'nail, claw'_note1895: first words means 'claw, hoof', second word means '(finger)nail'	7	*k<aN>uSkuS	claw, fingernail	ACD	*k<an>uhkuh	fingernail	ACD	Edwards 2015:97-98	irregular *k > /k/, irregular final /nũ/
body parts	kuku jari	fingernail						ekao afo		ekaso-afo				eca uapo	kauāpŏ, kau-apŏ													note1895: first words means 'claw, hoof', second word means '(finger)nail'	4								
	selesai	finished										aböha	aböha		aboehŏ					abə́ha								meaning1895 'end (v.)	4								
natural objects	api	fire	obi-obi		howi howi	abie abie	obie	ejobie	obi	ejobie		èjobie	èjobie	eòbi	èjobie		eeubi			e-ʔobi		Eēp	Eēp	iɘb	yėb				17	*Sapuy	fire	ACD	*hapuy	fire	ACD	Lafeber 1922:22, Edwards 2015:97-98	irregular *p > /b/, irregular *a > /o/
natural objects	api	fire					apoeah								eapoeha														2								
	api	fire													èafauje														1								
	api	fire													kahihŏ														1								
	api	fire													kidoeroeka														1								
	api	fire													pakoehoeĕ														1								
	perapian	fireplace										koenajo	koenajo		koenajŏ													meaning1895 'grill, roast'	3								
	perapian	fireplace													ĕpo(k)													meaning1895 'hearth, fireplace'	1								
natural objects	kayu bakar	firewood					kekoeoh djowbie								roehoekiĕ(k)														2								
numerals	pertama	first													aoedoe														1								
numerals	pertama	first													nè(k)è														1								
	sulung	firstborn												moa						e-ada e-pehe								lit. 'child first'	2								
animals	ikan	fish (n.)					aijoh	eajo		e ajo		èajĕ	èajĕ	iaio	eàjo		eai			e-ʔa͜iyo	[e]ʔa͜iyo	yay	yay	ʔeai	eai			lit. 'that which is to be fished' (Kähler 1975:VI, Kähler 1987:10)	13								
animals	ikan	fish (n.)												iáio iane														meaning1894 'terrestial animal'	1								
animals	ikan	fish (n.)	ko-au		kwau	kaaiwaauw			kaiwau																			lit. 'that which is to be fished' (Kähler 1975:VI, Kähler 1987:10)	4								
activities	memancing	fish (v.)			vatjekwau																								1								
activities	memancing	fish (v.)																						ka-ham	kaham				2								
	memancing	fish (v.)																						maham					1								
activities	memancing	fish (v.)				penono kiro																							1								
animals	tulang ikan	fishbone																		eʔā uʔi͜ayo									1								
tools	kail ikan	fishhook																		ẽ-ʔamĩ								cf. fishing rod	1	*kawil	fishhook	ACD	*kawil(ən)	fishhook	ACD/Kähler 1987:10	Kähler 1975:VI, Kähler 1987:10	literally: ""that which is to be fished""
tools	jala ikan	fishing net												ecabuaio						ekabuʔa͜iyo	[e]kabo (II)								2								literally: ""fish net"", cf. fish, cf. net
tools	jala ikan	fishing net									èokofo																		1								
tools	tongkat pancing	fishing rod																						ʔeam	eam, e'iam			cf. fishhook	2								
	kepalan tangan	fist										amoeafĕ	amoeapo																2								
numerals	lima	five	liba	aliema	alima	lieba	aliebah	aliema	alieba	alieba	alibĕ, ariba	alibĕ	aribĕ	alíme	aliba					ʔadiba		arip	arip	ʔarib	arib				18	*Sika lima	five	ACD	*(i)ka lima	five	ACD	Edwards 2015:94-97, Kähler 1987:41	cf. Mentawai/Nias lima (Lafeber 1922:24)
	lima	five																		ʔaliba									1								
	lima	five																		ʔalibe									1								
	lima	five										alimĕ			aribĕ					ʔariba									3								
numerals	lima ratus	five hundred		tapoeloe taka adoea taka tapoeloe				kahaie kododoka é aliema takka												kaha͜iʔi ekudədəka hī ʔariba ekaka								note1854: literally 10x40+2x40+10	3								
	tetap	fixed										koinana	koinana		koinŏnā														3								
	tetap	fixed													fakaafie														1								
	tetap	fixed													pamiere														1								
	bendera	flag (n.)																						barera	barera			loanword bendera	2								
natural objects	nyala api	flame										karahoe	karahoe	carahu															3								
	kain flanel	flannell													pakoewok														1								
	rata	flat (a.)										kidarao	kirarao		kadarao									ki-nanap	kinanap				5								
	rata	flat (a.)										fanakonĕ	panakonĕ																2								
geography	dataran	flat land										ènafa	ènafa		ènafa					ẽnãpã	[ẽ]nãpã							meaning1891 'field'_meaning1895 'plain'	4	?			*dapaR / *da(m)paD / *lapad	flat, level, even	ACD / Smith 2020:360 / Smith 2020:360 /	Edwards 2015:94-97, Smith 2020:360	Smith (2020:360) argues for *da(m)paD with an excrescent nasal to explain the nasality and lists as cognates Ngaju dampah and Malay dampar; Smith 2020:360 also suggests *lapad with cognates Simeulue lambah and Nasal ramah both having an excrescent nasal
geography	dataran	flat land													kiedarāk													meaning1895 'plain'	1								
	rasa	flavour										kahafak	kahafak																2								
animals	kutu anjing	flea													èhikoe bèo													lit. 'dog louse'	1								
	daging	flesh										èhèla	èhèla	hela	(è)hèla		her	hela		eheda	[e]heda	hiēdh	hiēdh	her	her		her	meaning1895 'flesh, flesh of fruit'_meaning1982 'fly'	11								
	menggoda	flirt																						kah-nene	kahnene				2								
	menggoda	flirt																						ko(ʔne)ne	koh'nene				2								
	mengapung	float										kokonĕ	kokona															cf. come out, hatch	2								
	mengapung	float										loronia	loronia																2								
	banjir	flood						edorie				èdolie	èdorie		èdŏdie														4								
human objects	lantai	floor													emenaha														1								
	balok lantai	floor beam										foefoeak²	poepoeak²																2								
	tepung	flour																						tãpũ	ẽtãpũ			loanword	2								
	mengalir	flow																		abue								cf. ooze out	1								
	mengalir	flow																		k(i)abúe								cf. ooze out	1								
	bunga	flower										èpfoejĕ	èpfoejĕ	epòi	èpfoejĕ					e-upuyo		muŋo	muŋo	muo	muo			Kasim, Yoder loanword	9								
	bunga	flower													kafèfo														1								
	flu	flu																						ne					1								
music	suling	flute													èhijoe														1								
animals	lalat	fly (n.)																						ium	yum				2								
animals	lalat	fly (n.)									oemo	èoemĕ	èoemo		eòemŏ					eū́mõ	[e]ū́mõ							meaning1891 'bumblebee'_meaning1987K 'common fly'	5								
	terbang	fly (v.)												eèpa			keepe			kĩ-ʔẽʔẽpã		hEqEp	hEqEp						5	?			*kapak	flap the wings	ACD	Edwards 2015:94-97	extra initial syllable probably via reduplication; unexpected *i > /e/, but cf. *iluR > k-edo; also reconstructed *kipak, *kepek and *kibak for PWMP; Smith (2020:360) sees many irregularities in this reconstruction
	terbang	fly (v.)										hahamo	hahamo							kĩ-hãhãmõ				ka-ham	kiaham				5								cf. Nias hombo (Lafeber 1922:21)
	busa	foam										pikoko	pikoko																2								
	melipat	fold										onikak²	onikak²																2								
movement	mengikuti	follow			gaheita							kahei	kahei	aioo										kũkũ				Modigliani BI ayo?	5								
movement	mengikuti	follow									obieowak	abakoewĕ	abakoewĕ	baiò	[èkaka] kabājĕoi													meaning1894 'obbediente'_meaning1895 'follower'	5								
food and beverage	makanan	food												eò, eoá															1								
food and beverage	makanan	food		loekia																									1								
food and beverage	makanan	food													èmèhè(k)									meh	meh				3								
food and beverage	makanan	food																						noh					1								
food and beverage	makanan	food																							eyė				1								
body parts	kaki	foot, leg				edjaauw								eapáua uae															2								
body parts	kaki	foot, leg	e-ai				ah	[eafonge] ewai	ah			èai	èai	iae	ija(k)è		healbe			eae	[e]ae	E'aa	E'aa	ʔea				meaning<1855&1870&1894 'foot'_meaning1895 'foot, leg, paw'	13	*qaqay~waqay	foot, leg	ACD	*qaqay	foot, leg	ACD	Lafeber 1922:21, Edwards 2015:94-97, ACD 4273, Kähler 1987:6	The PAN doublet can account for Mentawai
	langkah	footstep										èai	èai							eaha͜ea								cf. go	3								
	langkah	footstep										hiowai	hiowai																2								
	sia-sia	for nothing										kifiaka	kifiaka																2								
	terlarang	forbidden													hiārā nŏā					kaʔahaoa									2								
	terlarang	forbidden										ohok²	ohok²																2								
	terlarang	forbidden										pakèhok²	pakèhok²		pakèho													meaning1891 'forbidden, endure'_meaning1895 'refuse'	3								
body parts	dahi	forehead										èkoek	èkoek	ecu															3								
body parts	dahi	forehead	ko-on			koe-oe		koe				koe	koe		èkoe(k)	koe				ekũʔũĩ	[e]kũʔũĩ								8								cf. Mentawai tutu (Lafeber 1922:22)
	asing	foreign										èomĕhĕ	èomĕhĕ																2								
people	orang asing	foreigner					fakka mehonoh																						1								
natural objects	hutan	forest					koë-koë							iacué						e-kue								cf. wood	3								
natural objects	hutan	forest					howdah								èŏkoewĕ					e-kudio		hoqpu	hoqpu	haʔku	hok'ku			meaning1895 'forest, woods, bush'	7								
	menempa	forge																		ki-kuku									1	*tuktuk	knock, pound, beat	ACD	*tuktuk	knock, pound, beat	ACD	Edwards 2015:94-97	
other	lupa	forget										kaaboe	kaaboe	caabu	kikaaboe														4								
other	lupa	forget																						ka-ʔam	kika'am				2								
other	lupa	forget				kapieho																							1								
	bentuk	form (n.)										èföha	èföha																2								
	mantan	former										èahaniĕ	èahaniĕ																2								
buildings	benteng	fortification													anĕma														1								
numerals	empat puluh	forty			adoeei taka		adoeah takkah	adoea takka		adoewa takka		adoewĕ taka	adoewĕ taka		adoewĕ taka					ʔadua ekaka								lit. 'two person'	8								
numerals	empat	four	afa	ampapa	aopa	afa	oepah	afa	aopa	afa		afa	afa	afa	afa					ʔáopa		aop	aop	ʔaup	aup				17	*Sika + Səpat	NUM + four	ACD	*(i)ka + əpat	NUM + four	ACD	Lafeber 1922:22, Edwards 2015:94-97, Nothofer 1986:101, ACD 5161	cf. Blust (2003:473) for *(i)ka-, cf. Mentawai äpat, Nias õfa (Lafeber 1922:24)
numerals	empat ratus	four hundred		tapoeloe taka				kahaie kododoka								(è)kahaèq koedodoka, (è)kaèq koedoroka				kaha͜iʔi ekudədəka, kaha͜iʔi ekudodoka	[e]kudodo							lit. 10x20	4								
numerals	empat ratus	four hundred						kahaie kododoka		kahaie kadodoka																		lit. 1x body	2								
numerals	empat belas	fourteen					kapoeloe oepah	kahafoeloe é afa						cahafúlo afá															3								
	empat belas	fourteen										kifa hoekjo afa	kifa hoekjo afa		kifahoekjo afa														3								
	bau harum	fragrance										kamano	kamano															cf. smell	2								
	harum	fragrant																						kaʔ-man	ka'man			harum	2								
	bebas	free										kĕmojak²	kĕmojak²		kĕmoja(k)													meaning1895 'loose'	3								
	teman	friend												opahawo						hobeʔa				kaʔnɘm	kanėu				4								
	teman	friend	pajohèka			padjo haika					kabakèkè	anok²	anok²	paano						ʔãnõ				ʔanɘʔ	anė'				9								
	keriting (rambut)	frizzy (hair)										kidobika	kirobika																2								
animals	katak	frog (Rana macrodon)			oho										lahŏfo					epẽʔõ	[e]pẽʔõ			pẽʔ	epẽ			cf. toad	5								
